,0
2015-06-25,-0.02584429633642682
2015-06-26,-0.05861855957348505
2015-06-29,-0.031995610904105964
2015-06-30,0.03706290390272571
2015-07-01,-0.04033547276454985
2015-07-02,-0.03899521263405492
2015-07-03,-0.05658387370116458
2015-07-06,-0.0011634525739511181
2015-07-07,-0.04530559007512713
2015-07-08,-0.04454316111251733
2015-07-09,0.06136121314119802
2015-07-10,0.0595678794508947
2015-07-13,0.038742136060618604
2015-07-14,-0.013560414182198555
2015-07-15,-0.06077370005117788
2015-07-16,0.004864818628143475
2015-07-17,0.04301697654876002
2015-07-20,0.010383351416985986
2015-07-21,0.003932671324854642
2015-07-22,0.004943471100350205
2015-07-23,0.022192930278539746
2015-07-24,-0.009738099146369694
2015-07-27,-0.06310902966724197
2015-07-28,-0.014774409255605359
2015-07-29,0.03679028378594795
2015-07-30,-0.025399196833075455
2015-07-31,-0.0057234802845217425
2015-08-03,-0.007023172304783998
2015-08-04,0.03693844536504698
2015-08-05,-0.009889563064159446
2015-08-06,-0.0027025695989100207
2015-08-07,0.017038043152393323
2015-08-10,0.03610592441591587
2015-08-11,0.0008638709448847148
2015-08-12,-0.009885850027726129
2015-08-13,0.01258055553765014
2015-08-14,0.00508881500128644
2015-08-17,0.013061045826816775
2015-08-18,-0.056754168997209864
2015-08-19,0.019607430300205175
2015-08-20,-0.021632468303376506
2015-08-21,-0.04074358346407603
2015-08-24,-0.061329417367799066
2015-08-25,-0.06291397504596963
2015-08-26,-0.03470791599176337
2015-08-27,0.03652240357245673
2015-08-28,0.051192395715599526
2015-08-31,-0.005327016364974457
2015-09-01,-0.01554471955718495
2015-09-02,0.0020842640760914133
2015-09-07,-0.013726582124268139
2015-09-08,0.02368569195669501
2015-09-09,0.0210275337683139
2015-09-10,-0.013583069505251899
2015-09-11,0.0007325318088875488
2015-09-14,-0.035995002997420755
2015-09-15,-0.032181450078443086
2015-09-16,0.050259220207911515
2015-09-17,-0.01747925681424012
2015-09-18,0.0020987531179903485
2015-09-21,0.015082418100965445
2015-09-22,0.009592352832326068
2015-09-23,-0.019825949055496395
2015-09-24,0.006837684193839788
2015-09-25,-0.015851238842186643
2015-09-28,0.004865757444422636
2015-09-29,-0.016727855013981552
2015-09-30,0.0036844152469268643
2015-10-08,0.025547288772458154
2015-10-09,0.015936624357311358
2015-10-12,0.027109288973048207
2015-10-13,0.00010869827997650461
2015-10-14,-0.004016700621398583
2015-10-26,0.031340043080082536
2015-10-27,0.0002583827694262464
2015-10-28,-0.008846346070786604
2015-10-29,0.0049003290946865175
2015-10-30,-0.0031692373978708943
2015-11-02,-0.011086082788933416
2015-11-03,-0.000617251681983122
2015-11-04,0.031285511056592163
2015-11-05,0.009388791163927213
2015-11-06,0.010980174727065473
2015-11-09,0.008279037668211364
2015-11-10,0.0034393817561761963
2015-11-11,0.003353414349655637
2015-11-12,-0.0037406745738828295
2015-11-13,-0.013510284731042654
2015-11-16,0.005151715654824418
2015-11-17,-0.0010138713097544994
2015-11-18,-0.008655588942874104
2015-11-19,0.012362291780196433
2015-11-20,0.0017343669215905688
2015-11-23,-0.007027223076770173
2015-11-24,-0.00347925156500839
2015-11-25,0.006265165426479369
2015-11-26,0.0031887297461477004
2015-11-27,-0.03542719163279173
2015-11-30,0.0027545020132608844
2015-12-01,0.005869746163105427
2015-12-02,0.013770199687183737
2015-12-03,0.006090305431941889
2015-12-04,-0.00871098107290813
2015-12-07,0.00937704242352888
2015-12-08,-0.014927938945636487
2015-12-09,0.0007586969007655764
2015-12-10,-0.00552306936807756
2015-12-11,0.0007804205595713931
2015-12-14,0.02064955912025379
2015-12-15,-0.003298760109148202
2015-12-16,-0.00045721468763182394
2015-12-17,0.015184038685788437
2015-12-18,-0.0011264842270607422
2015-12-21,0.0198942766077983
2015-12-22,0.0041058513838072574
2015-12-23,-0.001905961814773649
2015-12-24,-0.008666431384212414
2015-12-25,0.004397132374745816
2015-12-28,-0.019464179258552705
2015-12-29,0.0051139127340666946
2015-12-30,0.0001223927512676859
2015-12-31,-0.0049497181977306015
2016-01-04,-0.052493524288827254
2016-01-05,-0.0030610043218162186
2016-01-06,0.027934874460660675
2016-01-07,-0.05497487464092343
2016-01-08,0.017167697283756667
2016-01-11,-0.035343271713740965
2016-01-12,0.004060807989987536
2016-01-13,-0.014596603108067097
2016-01-14,0.017929315215986508
2016-01-15,-0.029068472625856545
2016-01-18,0.0010603389344767677
2016-01-19,0.02369062220752305
2016-01-20,-0.011673430021715725
2016-01-21,-0.023181005564226642
2016-01-22,0.010373099733997693
2016-01-25,0.012220102572827685
2016-01-26,-0.04931783106592169
2016-01-27,0.0024143211341773885
2016-01-28,-0.026945112377678382
2016-01-29,0.024562710564442147
2016-02-01,-0.01811492838245221
2016-02-02,0.016118758000780442
2016-02-03,-0.005011088397837815
2016-02-04,0.017366633825447897
2016-02-05,-0.003196997186585726
2016-02-15,0.0028364037028845157
2016-03-11,0.016780115378377314
2016-03-14,0.016650396786928257
2016-03-15,-0.003330894997771283
2016-03-16,-0.004425851307722439
2016-03-17,0.011893800372868801
2016-03-18,0.014976264544805495
2016-03-21,0.01409589125841526
2016-03-22,-0.004932372104448635
2016-03-23,0.0035645713029048842
2016-03-24,-0.011103125738067265
2016-03-25,0.005029724067834307
2016-03-28,-0.0014760079369936507
2016-03-29,-0.007402442764606554
2016-03-30,0.018278168292391817
2016-03-31,0.003130604975686735
2016-04-01,0.004059421885068026
2016-04-05,0.012676430833430175
2016-04-06,0.0006148157590546433
2016-04-07,-0.008581766184244777
2016-04-08,-0.00841822518967772
2016-04-11,0.009552148621078338
2016-04-12,0.0013793565431148291
2016-04-13,0.014022962259684135
2016-04-14,0.0010667016541863195
2016-04-15,0.0011316489437580568
2016-04-18,-0.012712323561679395
2016-04-19,0.0024207735959311805
2016-04-20,-0.018342983754371156
2016-04-21,-0.0042299399121426
2016-04-22,0.001217480297909912
2016-04-25,-0.0030472448558089837
2016-04-26,0.004010460226746337
2016-04-27,-0.0030277867950060378
2016-04-28,-0.0017353187166744277
2016-04-29,-0.0012992257049270206
2016-05-03,0.017654523831012625
2016-05-04,0.0035304859325859805
2016-05-05,0.000668749434820537
2016-05-06,-0.020948650991120865
